11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:57.019: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.036: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.053: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.069: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.086: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.103: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.119: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.136: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.152: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.169: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.186: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.203: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.219: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.236: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.253: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.269: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.286: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.303: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.319: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.336: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.353: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.369: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.386: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.403: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.419: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.436: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.453: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.469: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.486: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.503: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.519: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.536: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.553: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.569: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.586: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.602: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.619: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.636: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.653: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.669: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.686: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.702: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.719: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.736: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.753: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.769: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.787: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.804: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.820: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.837: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.854: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.870: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.887: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.904: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.920: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.937: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.953: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.970: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.987: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.003: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.020: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.037: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.053: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.070: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.087: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.103: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.120: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.137: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.154: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.170: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.187: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.204: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
